model,dataset,parameters,accuracy,precision/empty,precision/occupied,recall/empty,recall/occupied,f1_score/empty,f1_score/occupied,confusion_matrix/0/0,confusion_matrix/0/1,confusion_matrix/1/0,confusion_matrix/1/1
CNN50_2Conv_2Pool_2FC_centercrop,train,3880090,0.9953622159090909,0.9956831541753492,0.9947213264795718,0.9973521671124208,0.991408296827434,0.9965169618092596,0.9930620484487888,186827,810,496,93467
CNN50_2Conv_2Pool_2FC_centercrop,val,3880090,0.9944349315068494,0.9943511943189154,0.9945997458703939,0.9972483004208482,0.988945041061276,0.9957976402133506,0.9917643332277479,6161,35,17,3131
VGG_centercrop,train,128780034,0.9992507102272727,0.99933284230527,0.9990874169655553,0.9995408999428794,0.9986741198807768,0.999436860295982,0.9988807256716973,187237,125,86,94152
VGG_centercrop,val,128780034,0.9993578767123288,0.9993527508090615,0.9993678887484198,0.9996762706377469,0.9987365761212887,0.9995144845444247,0.9990521327014218,6176,4,2,3162
CNN100_3Conv_3Pool_2FC,train,6435546,0.99703125,0.9978748738540071,0.9953560863895162,0.9976617927323393,0.9957783977003936,0.997768321916894,0.995567197259722,186885,398,438,93879
CNN100_3Conv_3Pool_2FC,val,6435546,0.9970034246575342,0.9975728155339806,0.9958912768647282,0.9978957591453544,0.9952621604548326,0.997734261207315,0.9955766192733018,6165,15,13,3151
ResNet,train,11177538,0.9993394886363637,0.9993062855862154,0.9994055391017271,0.9997010511255959,0.998621084676008,0.9995036293766012,0.9990131578947369,187267,130,56,94147
ResNet,val,11177538,0.9995719178082192,0.9995145631067961,0.9996839443742098,0.9998381353188734,0.9990524320909665,0.9996763230296164,0.9993680884676145,6177,3,1,3163
CNN50_3Conv_1Pool_3FC,train,18819082,0.9966228693181818,0.9974164620476139,0.9950456185020157,0.99750697992238,0.994866192178368,0.997461718931413,0.9949558972509375,186856,484,467,93793
CNN50_3Conv_1Pool_3FC,val,18819082,0.9956121575342466,0.9970840758140288,0.9927467675812046,0.9962771123340887,0.9943145925457991,0.9966804307343535,0.993530061543317,6155,18,23,3148
