file,error,num_incorrect_squares,num_incorrect_corners,occupancy_classification_mistakes,piece_classification_mistakes,actual_num_pieces,predicted_num_pieces,time_corner_detection,time_occupancy_classification,time_piece_classification,time_prepare_results
0638.png,None,0,0,0,0,21,21,0.1345834005624056,0.05031009670346975,0.1611488675698638,8.708145469427109e-05
1736.png,None,0,0,0,0,32,32,0.13440213818103075,0.05064910463988781,0.24704062473028898,0.00010662712156772614
2543.png,None,0,0,0,0,30,30,0.12421368062496185,0.0501219742000103,0.23046840075403452,0.00010471511632204056
3342.png,None,0,0,0,0,13,13,0.1336746821179986,0.050679247826337814,0.10746412817388773,6.98380172252655e-05
4249.png,None,0,0,0,0,14,14,0.13510885182768106,0.05000120773911476,0.1113047506660223,7.223058491945267e-05
1403.png,None,0,0,0,0,22,22,0.13596036843955517,0.05002073757350445,0.18268625158816576,8.8508240878582e-05
1959.png,None,0,0,0,0,32,32,0.13974435534328222,0.050575848668813705,0.24565619975328445,0.00010568276047706604
1751.png,None,0,0,0,0,18,18,0.1259672250598669,0.050081693567335606,0.1439915793016553,7.979758083820343e-05
1385.png,None,0,0,0,0,10,10,0.12493730615824461,0.05089501850306988,0.08274068869650364,6.588082760572433e-05
1037.png,None,0,0,0,0,32,32,0.13425457291305065,0.05020382069051266,0.2612956427037716,0.00010662991553544998
3711.png,None,0,0,0,0,14,14,0.1349761225283146,0.05028579384088516,0.12613933067768812,7.26897269487381e-05
2806.png,None,0,0,0,0,16,16,0.1367882639169693,0.050836341455578804,0.12587187439203262,7.467996329069138e-05
4699.png,None,0,0,0,0,26,26,0.12953760474920273,0.050275856629014015,0.1988706924021244,9.547919034957886e-05
0714.png,None,0,0,0,0,16,16,0.12465138453990221,0.05057414434850216,0.12421730626374483,7.589813321828842e-05
3535.png,None,0,0,0,0,10,10,0.13030054606497288,0.04995523951947689,0.09608753304928541,6.476696580648422e-05
3569.png,None,0,0,0,0,14,14,0.12349792663007975,0.050047569908201694,0.11144288815557957,7.150042802095413e-05
4257.png,None,0,0,0,0,13,13,0.1351503562182188,0.05075843632221222,0.10698340088129044,7.123034447431564e-05
1980.png,None,0,0,0,0,11,11,0.12010438274592161,0.0500763151794672,0.10239903442561626,6.520934402942657e-05
3853.png,None,0,0,0,0,31,31,0.12399600073695183,0.05070387478917837,0.238781469874084,0.00010514259338378906
1812.png,None,0,0,0,0,15,15,0.12285546585917473,0.04999928642064333,0.13246719632297754,7.298868149518967e-05
2544.png,None,0,0,0,0,30,30,0.1396425673738122,0.05018474627286196,0.23089276812970638,0.00010166503489017487
4045.png,None,0,0,0,0,13,13,0.1343148536980152,0.05073667969554663,0.10655249282717705,7.137097418308258e-05
4786.png,None,0,0,0,0,18,18,0.1319983834400773,0.049998050555586815,0.1426499867811799,8.230563253164291e-05
2813.png,None,0,0,0,0,32,32,0.11901464685797691,0.05018529202789068,0.24446355644613504,0.00010600592941045761
0679.png,None,0,0,0,0,18,18,0.13413349632173777,0.05089238565415144,0.14490503910928965,8.681602776050568e-05
0186.png,None,0,0,0,0,17,17,0.1322873141616583,0.05006786994636059,0.14456587750464678,7.823482155799866e-05
4541.png,None,0,0,0,0,14,14,0.11729333084076643,0.05001563113182783,0.1112969359382987,7.116515189409256e-05
1077.png,None,0,0,0,0,28,28,0.13809763453900814,0.04998192097991705,0.22708070371299982,9.874161332845688e-05
4564.png,None,0,0,0,0,7,7,0.1267688935622573,0.05017772316932678,0.06199274118989706,5.850940942764282e-05
3735.png,None,1,0,1,0,17,16,0.12448087148368359,0.05006945226341486,0.1258512381464243,7.521267980337143e-05
2373.png,None,0,0,0,0,27,27,0.1470553372055292,0.05072451662272215,0.20719566941261292,9.891949594020844e-05
1935.png,None,0,0,0,0,32,32,0.13351809233427048,0.05007173866033554,0.2607049196958542,0.00011965539306402206
2376.png,None,0,0,0,0,25,25,0.12711439188569784,0.050161100924015045,0.19182232953608036,9.612180292606354e-05
1467.png,None,0,0,0,0,26,26,0.14039424620568752,0.050730823539197445,0.19862938858568668,9.727571159601212e-05
1618.png,None,0,0,0,0,16,16,0.1293373191729188,0.05020464677363634,0.13753606472164392,7.628090679645538e-05
1597.png,None,0,0,0,0,30,30,0.12501934729516506,0.0507209412753582,0.2315151710063219,0.00010725483298301697
1816.png,None,0,0,0,0,24,24,0.12483239453285933,0.05014068726450205,0.185903693549335,9.176228195428848e-05
1689.png,None,0,0,0,0,27,27,0.1320360004901886,0.050030806101858616,0.22139920480549335,0.00013950839638710022
2313.png,None,0,0,0,0,32,32,0.1416575638577342,0.05108544137328863,0.24768290761858225,0.00010563898831605911
1148.png,None,0,0,0,0,17,17,0.12918610777705908,0.050228413194417953,0.14610580541193485,7.939990609884262e-05
2634.png,None,0,0,0,0,9,9,0.13336915895342827,0.04987391736358404,0.07538072019815445,6.392225623130798e-05
0268.png,None,0,0,0,0,24,24,0.13093000557273626,0.05003604665398598,0.18524922337383032,8.934177458286285e-05
3999.png,None,0,0,0,0,27,27,0.12310296297073364,0.05014439765363932,0.2203482622280717,9.719096124172211e-05
1328.png,None,0,0,0,0,15,15,0.13433604780584574,0.05012296698987484,0.11851766146719456,7.48857855796814e-05
3967.png,None,0,0,0,0,24,24,0.13935574889183044,0.05058798845857382,0.18485262617468834,9.040534496307373e-05
2796.png,None,0,0,0,0,31,31,0.1382998852059245,0.07888086047023535,0.23904705233871937,0.00010522175580263138
1855.png,None,0,0,0,0,7,7,0.12428426556289196,0.051331072114408016,0.06286705005913973,5.946215242147446e-05
1737.png,None,0,0,0,0,20,20,0.12454235646873713,0.0500258756801486,0.15605735778808594,8.398294448852539e-05
4288.png,None,0,0,0,0,25,25,0.1385113624855876,0.05062083248049021,0.19346119742840528,9.562168270349503e-05
1910.png,None,1,0,1,0,28,27,0.12950395327061415,0.0507937828078866,0.20763764902949333,9.82191413640976e-05
1266.png,None,0,0,0,0,23,23,0.13439692184329033,0.05017117690294981,0.18743429239839315,9.185262024402618e-05
4360.png,None,0,0,0,0,32,32,0.12980298791080713,0.04982968419790268,0.2602074583992362,0.00010528229176998138
4679.png,None,1,0,1,0,32,31,0.13675763178616762,0.04997679125517607,0.23930323868989944,0.00010612141340970993
4689.png,None,0,0,0,0,26,26,0.13337720930576324,0.05128275137394667,0.20096439309418201,9.635090827941895e-05
2510.png,None,0,0,0,0,10,10,0.133081566542387,0.04998187627643347,0.09670914616435766,6.499886512756348e-05
4764.png,None,0,0,0,0,10,10,0.12252353690564632,0.050657711923122406,0.0820808932185173,6.425660103559494e-05
0431.png,None,0,0,0,0,28,28,0.12586894910782576,0.05086537916213274,0.21345982421189547,9.856466203927994e-05
0985.png,None,0,0,0,0,11,11,0.13076278939843178,0.05014260392636061,0.10086492542177439,6.643496453762054e-05
3766.png,None,0,0,0,0,32,32,0.13492356706410646,0.05046399775892496,0.24544147308915854,0.0001073228195309639
2033.png,None,0,0,0,0,25,25,0.13347934931516647,0.0504089780151844,0.1924059158191085,9.394437074661255e-05
2951.png,None,0,0,0,0,20,20,0.1358066275715828,0.05007167812436819,0.15458700992166996,8.25272873044014e-05
3168.png,None,0,0,0,0,30,30,0.13271445780992508,0.05000289063900709,0.23350199684500694,0.0001028766855597496
0262.png,None,0,0,0,0,28,28,0.13395415991544724,0.05080471746623516,0.21419346891343594,9.926129132509232e-05
4600.png,None,0,0,0,0,12,12,0.11825226154178381,0.050243739038705826,0.11201396305114031,6.916001439094543e-05
4732.png,None,0,0,0,0,18,18,0.1397135779261589,0.05075960326939821,0.14469783380627632,8.17691907286644e-05
3921.png,None,0,0,0,0,28,28,0.13415153976529837,0.049908120185136795,0.21387141291052103,0.0001003677025437355
2508.png,None,0,0,0,0,30,30,0.11742822267115116,0.050444566644728184,0.2320438278838992,0.00010356120765209198
3648.png,None,0,0,0,0,8,8,0.12985494267195463,0.0500964829698205,0.06783950608223677,5.8904290199279785e-05
1682.png,None,0,0,0,0,32,32,0.13704675808548927,0.050075385719537735,0.24479730892926455,0.00010773539543151855
0050.png,None,0,0,0,0,30,30,0.13568584062159061,0.0505515867844224,0.2309796903282404,0.0001014145091176033
3862.png,None,0,0,0,0,5,5,0.12502267956733704,0.05055681150406599,0.04650541860610247,5.6043267250061035e-05
3412.png,None,0,0,0,0,14,14,0.12448458559811115,0.050710687413811684,0.11300329770892859,7.104407995939255e-05
3033.png,None,0,0,0,0,9,9,0.12218331918120384,0.04981529898941517,0.0920952744781971,6.411690264940262e-05
3391.png,None,0,0,0,0,13,13,0.1311159711331129,0.050632030703127384,0.10681753233075142,7.080752402544022e-05
4705.png,None,0,0,0,0,15,15,0.13168375566601753,0.050014120526611805,0.11837615258991718,7.492676377296448e-05
4052.png,None,0,0,0,0,9,9,0.12103540077805519,0.04997958429157734,0.08917560800909996,6.299465894699097e-05
0002.png,None,0,0,0,0,6,6,0.13322676345705986,0.04991222079843283,0.05513627082109451,5.634035915136337e-05
0747.png,None,0,0,0,0,31,31,0.12760400865226984,0.05048263818025589,0.2368737580254674,0.00010375585407018661
2728.png,None,0,0,0,0,32,32,0.14208259247243404,0.0498638991266489,0.24418539088219404,0.00011195521801710129
2487.png,None,0,0,0,0,32,32,0.13545323722064495,0.05094215925782919,0.24518065340816975,0.00010529160499572754
0760.png,None,0,0,0,0,17,17,0.12364603765308857,0.04990629106760025,0.1335143130272627,7.795263081789017e-05
0153.png,None,0,0,0,0,30,30,0.12119760923087597,0.04997145850211382,0.24584867153316736,0.00010276120156049728
1454.png,None,0,0,0,0,25,25,0.13201552256941795,0.04977733362466097,0.19211535900831223,9.319372475147247e-05
4428.png,None,0,0,0,0,30,30,0.13434689491987228,0.05057618208229542,0.23040696419775486,0.00010127294808626175
3128.png,None,0,0,0,0,29,29,0.1264675185084343,0.05008134339004755,0.2179086608812213,9.951554238796234e-05
1650.png,None,0,0,0,0,17,17,0.13301392830908298,0.05019286274909973,0.14737803488969803,7.831212133169174e-05
4460.png,None,0,0,0,0,26,26,0.13340045604854822,0.04994525294750929,0.19693837594240904,9.525101631879807e-05
4145.png,None,0,0,0,0,14,14,0.12828090507537127,0.050645613111555576,0.11237214971333742,7.479358464479446e-05
0239.png,None,0,0,0,0,11,11,0.13072454556822777,0.0499635711312294,0.10094756819307804,6.820820271968842e-05
0586.png,None,0,0,0,0,25,25,0.1353297708556056,0.050079564563930035,0.20721912290900946,9.263306856155396e-05
1168.png,None,0,0,0,0,21,21,0.12700160034000874,0.050589255057275295,0.16324100457131863,8.553173393011093e-05
1312.png,None,0,0,0,0,30,30,0.12294254079461098,0.05017510615289211,0.24375171586871147,0.00010384898632764816
0209.png,None,0,0,0,0,28,28,0.12824042048305273,0.0505666509270668,0.22447349783033133,9.963754564523697e-05
2539.png,None,0,0,0,0,7,7,0.12661451753228903,0.04984390642493963,0.0753735862672329,5.852244794368744e-05
2153.png,None,0,0,0,0,10,10,0.13402648456394672,0.050243502482771873,0.09395706374198198,6.389431655406952e-05
3256.png,None,0,0,0,0,24,24,0.13616883475333452,0.05083021614700556,0.1854724520817399,9.043607860803604e-05
1002.png,None,0,0,0,0,5,5,0.13161158375442028,0.05017274431884289,0.045200143940746784,5.5740587413311005e-05
3601.png,None,0,0,0,0,32,32,0.13136403635144234,0.049862589687108994,0.24461726006120443,0.0001064687967300415
3401.png,None,0,0,0,0,25,25,0.13301952835172415,0.05088031943887472,0.1931770108640194,9.338650852441788e-05
1050.png,None,0,0,0,0,30,30,0.13831230346113443,0.04996228497475386,0.24486514646559954,0.0001026960089802742
2868.png,None,0,0,0,0,11,11,0.11707511078566313,0.05023349914699793,0.08868982829153538,6.839167326688766e-05
0460.png,None,0,0,0,0,22,22,0.12190067954361439,0.0505556371062994,0.17032259982079268,8.604489266872406e-05
1443.png,None,0,0,0,0,12,12,0.1196820018813014,0.05000631883740425,0.11561240814626217,6.830040365457535e-05
1757.png,None,0,0,0,0,13,13,0.12263633497059345,0.05043351091444492,0.10700756870210171,7.075071334838867e-05
0923.png,None,0,0,0,0,32,32,0.13768700696527958,0.04996005538851023,0.25779923517256975,0.00010569952428340912
1263.png,None,0,0,0,0,18,18,0.13652833085507154,0.051222982816398144,0.14457853976637125,8.05901363492012e-05
4551.png,None,0,0,0,0,7,7,0.13163559325039387,0.04998375941067934,0.07530236337333918,5.892198532819748e-05
0305.png,None,0,0,0,0,32,32,0.1313397018238902,0.050778113305568695,0.24663416668772697,0.0001063542440533638
0909.png,None,0,0,0,0,16,16,0.1353382859379053,0.04982585646212101,0.1406870186328888,7.618311792612076e-05
0208.png,None,0,0,0,0,32,32,0.12192340940237045,0.049821398220956326,0.24774485640227795,0.00010581314563751221
1483.png,None,0,0,0,0,25,25,0.13188742101192474,0.050773683935403824,0.19299164414405823,9.371154010295868e-05
2049.png,None,0,0,0,0,18,18,0.1295668100938201,0.04979677777737379,0.1442937320098281,8.115172386169434e-05
1673.png,None,0,0,0,0,17,17,0.1344869676977396,0.049983746372163296,0.1319005936384201,7.972400635480881e-05
1149.png,None,0,0,0,0,24,24,0.1323983957991004,0.049995312467217445,0.18534948024898767,9.149685502052307e-05
0113.png,None,0,0,0,0,12,12,0.11787060927599669,0.0499979667365551,0.09771323576569557,7.330160588026047e-05
4746.png,None,0,0,0,0,11,11,0.12452515959739685,0.05006497446447611,0.10239591263234615,6.728153675794601e-05
0491.png,None,0,0,0,0,20,20,0.12960501946508884,0.05049243103712797,0.1568976268172264,8.517783135175705e-05
3476.png,None,0,0,0,0,10,10,0.12434684857726097,0.05006067920476198,0.09516337420791388,6.45732507109642e-05
3483.png,None,0,0,0,0,16,16,0.12107338570058346,0.05011217389255762,0.12388610560446978,7.70818442106247e-05
1142.png,None,1,0,1,0,24,23,0.13167554140090942,0.05052431486546993,0.17522241175174713,8.983630686998367e-05
4514.png,None,0,0,0,0,32,32,0.127445793710649,0.05019122827798128,0.25964230112731457,0.00010317377746105194
0290.png,None,0,0,0,0,19,19,0.13580679427832365,0.0500806113705039,0.14915740583091974,8.085835725069046e-05
1981.png,None,0,0,0,0,11,11,0.1313997320830822,0.050161958672106266,0.08654272183775902,6.878282874822617e-05
4477.png,None,0,0,0,0,22,22,0.13791154604405165,0.050542314536869526,0.16797696333378553,8.771568536758423e-05
2423.png,None,0,0,0,0,18,18,0.13324395660310984,0.05001662764698267,0.15632603038102388,7.990561425685883e-05
2403.png,None,0,0,0,0,22,22,0.1323542445898056,0.050567266531288624,0.16879632975906134,8.859112858772278e-05
4042.png,None,0,0,0,0,32,32,0.12648589815944433,0.04991419520229101,0.24566194042563438,0.00010507367551326752
1768.png,None,0,0,0,0,32,32,0.13636387046426535,0.05054406635463238,0.24721189308911562,0.00010595284402370453
3792.png,None,0,0,0,0,32,32,0.12386647425591946,0.0501134330406785,0.25367974024266005,0.00010535120964050293
1281.png,None,0,0,0,0,20,20,0.13562055956572294,0.05085892882198095,0.15701091289520264,0.00010878965258598328
0086.png,None,0,0,0,0,23,23,0.13388125132769346,0.050012887455523014,0.1749958237633109,8.932501077651978e-05
1501.png,None,0,0,0,0,16,16,0.12683578673750162,0.05069279205054045,0.12556119821965694,7.635261863470078e-05
0234.png,None,0,0,0,0,16,16,0.12035659980028868,0.050088560208678246,0.12388632819056511,7.738731801509857e-05
0059.png,None,0,0,0,0,6,6,0.12897208705544472,0.049893785268068314,0.069626959040761,5.7042576372623444e-05
2422.png,None,0,0,0,0,15,15,0.13466474320739508,0.05069275014102459,0.11973431892693043,7.559265941381454e-05
2844.png,None,0,0,0,0,25,25,0.1270002443343401,0.04998933896422386,0.20550333708524704,9.433086961507797e-05
0259.png,None,0,0,0,0,10,10,0.11684912722557783,0.050126983784139156,0.09628546889871359,6.526242941617966e-05
2179.png,None,0,0,0,0,20,20,0.12840796448290348,0.05054765101522207,0.1573835602030158,8.41822475194931e-05
0126.png,None,0,0,0,0,23,23,0.12672597728669643,0.05003208760172129,0.17348655126988888,9.034667164087296e-05
4874.png,None,0,0,0,0,20,20,0.12737688794732094,0.05001347418874502,0.1559554934501648,8.322205394506454e-05
3144.png,None,0,0,0,0,31,31,0.11987223196774721,0.050633858889341354,0.2388848504051566,0.00010467972606420517
3495.png,None,0,0,0,0,24,24,0.1320028156042099,0.05003143195062876,0.19955817516893148,9.119883179664612e-05
4434.png,None,0,0,0,0,26,26,0.1274604881182313,0.05015177931636572,0.19934413209557533,9.498093277215958e-05
2425.png,None,0,0,0,0,30,30,0.1322486000135541,0.05009688250720501,0.22931743878871202,0.00010205619037151337
0170.png,None,0,0,0,0,22,22,0.1216180007904768,0.0504802605137229,0.1695336764678359,8.781906217336655e-05
4530.png,None,0,0,0,0,26,26,0.12311585526913404,0.05021653976291418,0.2117305351421237,9.48682427406311e-05
0288.png,None,0,0,0,0,9,9,0.13152085710316896,0.050266494043171406,0.07650726195424795,6.293412297964096e-05
0242.png,None,0,0,0,0,29,29,0.12473214603960514,0.05060733109712601,0.21972694899886847,0.00010039564222097397
2914.png,None,0,0,0,0,30,30,0.13388584088534117,0.05077587999403477,0.23136468045413494,0.0001040678471326828
0557.png,None,0,0,0,0,32,32,0.12517733499407768,0.05054297670722008,0.24619942158460617,0.0001060590147972107
4342.png,None,0,0,0,0,28,28,0.13141018338501453,0.050021043978631496,0.22628386970609426,9.913463145494461e-05
0187.png,None,0,0,0,0,6,6,0.12839632760733366,0.05076090805232525,0.0573708014562726,5.6074000895023346e-05
1127.png,None,0,0,0,0,19,19,0.13407570775598288,0.05009498167783022,0.15039851050823927,8.072424679994583e-05
1482.png,None,0,0,0,0,16,16,0.11833755392581224,0.050031477585434914,0.123790024779737,7.64327123761177e-05
2385.png,None,0,0,0,0,29,29,0.13014821242541075,0.05004995781928301,0.23244945984333754,0.00013426132500171661
2684.png,None,0,0,0,0,22,22,0.1284705139696598,0.04995322600007057,0.18316360283643007,8.757319301366806e-05
3672.png,None,32,4,20,12,32,28,0.1384026175364852,0.05045580677688122,0.2132326578721404,9.997747838497162e-05
1120.png,None,0,0,0,0,29,29,0.13675890769809484,0.049971356987953186,0.21811789460480213,0.00015803053975105286
4543.png,None,0,0,0,0,22,22,0.12535344995558262,0.05081179644912481,0.17064639925956726,8.68476927280426e-05
4038.png,None,0,0,0,0,32,32,0.13113300316035748,0.050000887364149094,0.2454917747527361,0.00010470300912857056
3312.png,None,0,0,0,0,13,13,0.13427606876939535,0.05074638035148382,0.10756601672619581,7.007457315921783e-05
3079.png,None,1,0,1,0,13,12,0.12005619704723358,0.05207868758589029,0.09762024972587824,6.92121684551239e-05
4709.png,None,0,0,0,0,15,15,0.12458712235093117,0.05066451244056225,0.11862293910235167,8.844304829835892e-05
2077.png,None,0,0,0,0,16,16,0.12304700445383787,0.050154357217252254,0.12361527979373932,7.705856114625931e-05
4285.png,None,26,4,23,3,16,13,0.1273719947785139,0.05070636607706547,0.10617534723132849,7.018726319074631e-05
0355.png,None,0,0,0,0,12,12,0.12335025798529387,0.04985307529568672,0.11137620452791452,7.026083767414093e-05
4069.png,None,0,0,0,0,30,30,0.13547503855079412,0.049914407543838024,0.2449373360723257,0.0001037726178765297
3791.png,None,0,0,0,0,20,20,0.13520686328411102,0.05012926459312439,0.15577613934874535,8.265301585197449e-05
4617.png,None,0,0,0,0,15,15,0.12361086439341307,0.051007989794015884,0.11922701727598906,7.358100265264511e-05
3616.png,None,0,0,0,0,26,26,0.13052848167717457,0.04988089017570019,0.1984229739755392,9.623449295759201e-05
2915.png,None,1,0,1,0,10,9,0.12921551149338484,0.049947393126785755,0.09140870999544859,6.270408630371094e-05
4509.png,None,0,0,0,0,30,30,0.13072690833359957,0.04979068133980036,0.24493096210062504,0.00010280031710863113
0861.png,None,0,0,0,0,21,21,0.13217748422175646,0.05083332862704992,0.1630098968744278,8.373241871595383e-05
2145.png,None,0,0,0,0,18,18,0.12141842022538185,0.05037914868444204,0.14432343188673258,8.137524127960205e-05
4132.png,None,0,0,0,0,26,26,0.13924511801451445,0.05077591445297003,0.20079816691577435,9.510014206171036e-05
2982.png,None,0,0,0,0,9,9,0.11755715310573578,0.05081292986869812,0.07627619709819555,6.341096013784409e-05
1685.png,None,0,0,0,0,30,30,0.12329250480979681,0.05059685744345188,0.23202264867722988,0.0001028403639793396
3883.png,None,0,0,0,0,30,30,0.1337011456489563,0.05233989842236042,0.24457488674670458,0.00010182242840528488
2936.png,None,0,0,0,0,16,16,0.1334685981273651,0.05136699881404638,0.12647486105561256,7.665809243917465e-05
3125.png,None,0,0,0,0,7,7,0.12919085286557674,0.049919540993869305,0.060933628119528294,5.836132913827896e-05
4387.png,None,0,0,0,0,15,15,0.12555518932640553,0.05037813168019056,0.11715326644480228,7.581152021884918e-05
1522.png,None,0,0,0,0,8,8,0.13470266573131084,0.05060937535017729,0.06906604114919901,5.995109677314758e-05
